team,conference,net_rank,wab_rank,wab,q1_w,q1_l,q2_w,q2_l,q3_w,q3_l,q4_w,q4_l
Radford,Big South,207,169,-9.72,0,2,0,1,0,1,20,8
Rhode Island,Atlantic 10,49,43,0.74,1,1,3,1,4,0,19,2
Rice,American,65,50,-0.53,0,2,1,0,5,0,22,3
Richmond,Atlantic 10,37,51,-0.67,0,2,3,4,5,0,18,1
Rider,MAAC,334,329,-20.71,0,0,0,2,0,2,7,18
Robert Morris,Horizon,214,193,-10.77,0,0,0,0,0,1,16,11
Rutgers,Big Ten,170,124,-7.37,0,13,1,2,2,2,6,3
Sacramento St.,Big Sky,204,263,-15.48,0,0,0,2,1,4,12,12
Sacred Heart,MAAC,300,255,-15.07,0,1,0,3,0,4,12,10
Saint Francis,NEC,356,360,-25.31,0,0,0,0,0,0,3,26
Saint Joseph's,Atlantic 10,87,112,-6.18,0,1,1,5,2,2,15,3
Saint Louis,Atlantic 10,225,293,-17.49,0,0,0,4,0,5,11,12
Saint Mary's,WCC,182,223,-12.92,0,2,0,3,0,5,13,7
Saint Peter's,MAAC,347,339,-21.21,0,0,0,3,0,1,6,19
Sam Houston St.,CUSA,181,144,-8.64,0,2,1,1,0,2,14,7
Samford,SoCon,279,232,-13.77,0,4,0,1,0,1,13,12
San Diego,WCC,268,311,-18.49,0,0,0,5,0,7,10,10
San Diego St.,Mountain West,72,55,-1.58,0,1,2,0,3,2,19,2
San Francisco,WCC,169,186,-10.45,0,0,0,3,1,8,16,3
San Jose St.,Mountain West,320,356,-23.83,0,1,0,4,0,6,3,17
Santa Clara,WCC,80,99,-5.17,0,1,1,2,6,3,15,3
Seattle,WCC,342,347,-22.07,0,1,0,1,0,7,3,16
Seton Hall,Big East,63,83,-3.94,0,6,1,1,5,2,13,3
Siena,MAAC,283,259,-15.32,0,0,0,2,0,3,13,12
SIU Edwardsville,OVC,246,240,-14.14,0,0,0,0,1,5,12,11
SMU,ACC,223,199,-11.39,0,9,0,4,0,2,9,6
South Alabama,Sun Belt,180,239,-14.14,0,1,0,4,2,2,14,11
South Carolina,SEC,3,3,14.48,12,3,7,0,3,0,9,0
South Carolina State,MEAC,359,353,-22.91,0,1,0,1,0,1,3,22
South Dakota,Summit League,117,101,-5.41,0,1,2,3,0,1,18,4
South Dakota St,Summit League,42,44,0.63,0,3,4,2,5,1,18,0
South Fla.,American,67,82,-3.75,1,5,1,2,2,2,16,3
Southeast Missouri St.,OVC,231,257,-15.17,0,1,0,1,0,5,12,11
Southeastern Louisiana,Southland,336,323,-20.22,0,3,0,0,0,3,4,18
Southern,SWAC,215,126,-7.56,0,6,0,0,1,0,16,7
