source_key,source_name,source_url,source_updated_at_raw,source_updated_at_iso,team_raw,seed,is_play_in,scraped_at_iso,canonical_slug,team_display,ncaa_id,espn_id,conference,resolution_method,resolution_confidence
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Green Bay,15,False,2026-03-12T05:31:32+00:00,green-bay,Green Bay,,,Horz,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Texas,1,False,2026-03-12T05:31:32+00:00,texas,Texas,,,SEC,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,FDU,16,False,2026-03-12T05:31:32+00:00,fdu,FDU,,,NEC,exact,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Virginia Tech,8,False,2026-03-12T05:31:32+00:00,virginia-tech,Virginia Tech,,,ACC,exact,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Southern California,9,False,2026-03-12T05:31:32+00:00,usc,USC,,,B10,alias,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Michigan St.,5,False,2026-03-12T05:31:32+00:00,michigan-state,Michigan St,,,B10,exact,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Gonzaga,12,False,2026-03-12T05:31:32+00:00,gonzaga,Gonzaga,,,WCC,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Oklahoma,4,False,2026-03-12T05:31:32+00:00,oklahoma,Oklahoma,,,SEC,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,UC Irvine,13,False,2026-03-12T05:31:32+00:00,uc-irvine,UC Irvine,,,BW,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Alabama,6,False,2026-03-12T05:31:32+00:00,alabama,ALabama,,,SEC,exact,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Virginia,11,False,2026-03-12T05:31:32+00:00,virginia,Virginia,,,ACC,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Ohio St.,3,False,2026-03-12T05:31:32+00:00,ohio-state,Ohio St.,,,B10,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Vermont,14,False,2026-03-12T05:31:32+00:00,vermont,Vermont,,,AE,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Illinois,7,False,2026-03-12T05:31:32+00:00,illinois,Illinois,,,B10,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Colorado,10,False,2026-03-12T05:31:32+00:00,colorado,Colorado,,,B12,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Duke,2,False,2026-03-12T05:31:32+00:00,duke,Duke,,,ACC,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Jacksonville,15,False,2026-03-12T05:31:32+00:00,jacksonville,Jacksonville,,,ASun,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Mississippi St.,FFO,False,2026-03-12T05:31:32+00:00,mississippi-state,Mississippi St,,,SEC,exact,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,Utah,FFO,False,2026-03-12T05:31:32+00:00,utah,Utah,,,B12,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,BYU,FFO,False,2026-03-12T05:31:32+00:00,byu,BYU,,,B12,new,100.0
her_hoop_stats,Her Hoop Stats,https://herhoopstats.com/bracketology/,"March 11, 2026",2026-03-11T00:00:00+00:00,North Dakota St.,FFO,False,2026-03-12T05:31:32+00:00,n-dakota-state,N Dakota St,,,Sum,alias,100.0
espn,ESPN,https://www.espn.com/espn/feature/story/_/id/30423107/ncaa-women-bracketology-2026-women-college-basketball-projections,"3/10/26, 11:45pm ET",2026-03-10T23:45:00+00:00,UConn,1,False,2026-03-12T05:31:32+00:00,uconn,UConn,,,BE,exact,100.0
